,id,date,hour,dist_travelled_km,energy_consumed_kwh,regen_energy_kwh,idling_energy_kwh,net_energy_kwh,mileage_kwh_per_km,raw_datapoints,non_null_datapoints,raw_data_pcnt,non_null_data_pcnt
0,16,2025-09-01,0,16.88,18.27,0.55,1.54,17.72,1.05,3185,1213,88.47,38.08
1,16,2025-09-01,1,56.25,51.12,3.25,0.41,47.87,0.85,3192,3190,88.67,99.94
2,16,2025-09-01,2,73.5,63.8,4.84,0.0,58.96,0.8,3268,3265,90.78,99.91
3,16,2025-09-01,3,47.38,66.5,21.81,0.0,44.68,0.94,3330,3325,92.5,99.85
4,16,2025-09-01,4,7.12,11.08,4.24,0.0,6.84,0.96,3306,1112,91.83,33.64
5,16,2025-09-01,5,0.0,0.0,0.0,0.09,0.0,,3245,0,90.14,0.0
6,16,2025-09-01,6,0.0,0.0,0.0,0.02,0.0,,3442,0,95.61,0.0
7,16,2025-09-01,7,0.0,0.97,0.0,1.0,0.97,,1757,404,48.81,22.99
8,16,2025-09-01,8,3.5,7.3,0.0,0.24,7.3,2.09,2402,1884,66.72,78.43
9,16,2025-09-01,9,8.0,12.98,3.78,0.0,9.2,1.15,3342,3338,92.83,99.88
10,16,2025-09-01,10,22.96,34.77,11.01,0.0,23.76,1.03,3114,3111,86.5,99.9
11,16,2025-09-01,11,18.59,37.13,12.25,0.03,24.88,1.34,2816,2813,78.22,99.89
12,16,2025-09-01,12,64.12,65.19,9.21,0.0,55.98,0.87,2816,2813,78.22,99.89
13,16,2025-09-01,13,53.25,67.46,19.57,0.0,47.88,0.9,2954,2952,82.06,99.93
14,16,2025-09-01,14,33.5,38.87,10.73,0.06,28.13,0.84,1889,1817,52.47,96.19
15,16,2025-09-01,15,38.62,47.3,7.14,1.11,40.16,1.04,2309,2270,64.14,98.31
16,16,2025-09-01,16,52.12,67.15,19.25,0.0,47.9,0.92,2951,2948,81.97,99.9
17,16,2025-09-01,17,35.38,57.12,13.87,0.67,43.25,1.22,2915,2847,80.97,97.67
18,16,2025-09-01,18,0.0,0.0,0.0,0.13,0.0,,3259,0,90.53,0.0
19,16,2025-09-01,19,0.0,0.0,0.0,0.03,0.0,,3365,0,93.47,0.0
20,16,2025-09-01,20,0.0,0.0,0.0,0.57,0.0,,3233,0,89.81,0.0
21,16,2025-09-01,21,14.38,21.4,4.4,0.3,17.0,1.18,3114,3043,86.5,97.72
22,16,2025-09-01,22,46.25,42.26,14.48,0.46,27.79,0.6,3043,3038,84.53,99.84
23,16,2025-09-01,23,63.96,70.44,13.77,0.0,56.67,0.89,3130,3124,86.94,99.81
24,16,2025-09-02,0,11.62,16.83,4.82,0.72,12.0,1.03,3228,1532,89.67,47.46
25,16,2025-09-02,1,72.88,71.07,8.05,0.0,63.01,0.86,3158,3152,87.72,99.81
26,16,2025-09-02,2,67.62,64.05,7.33,0.23,56.72,0.84,3211,3206,89.19,99.84
27,16,2025-09-02,3,46.44,64.45,22.29,0.07,42.16,0.91,3357,3351,93.25,99.82
28,16,2025-09-02,4,5.75,7.94,3.06,0.08,4.88,0.85,3267,1626,90.75,49.77
29,16,2025-09-02,7,1.75,3.62,0.89,0.03,2.74,1.56,2355,695,65.42,29.51
30,16,2025-09-02,8,0.0,0.0,0.0,0.0,0.0,,697,0,19.36,0.0
31,16,2025-09-02,9,1.38,3.05,0.74,0.06,2.31,1.68,720,648,20.0,90.0
32,16,2025-09-02,10,5.12,7.49,2.85,0.1,4.64,0.9,1250,1228,34.72,98.24
33,16,2025-09-02,13,0.0,0.0,0.0,0.01,0.0,,123,0,3.42,0.0
34,16,2025-09-02,15,0.0,5.96,0.0,5.96,5.96,,2801,2199,77.81,78.51
35,16,2025-09-02,16,7.0,11.89,3.81,0.04,8.08,1.15,3345,2603,92.92,77.82
36,16,2025-09-02,17,0.0,0.0,0.0,0.05,0.0,,1858,0,51.61,0.0
