,vehicle_id,Trip_Name,Departure_Time,Arrival_Time,Departure_Index,Arrival_Index,ODO_Distance_km,GPS_Distance_km,TRAVEL_Time,HALT_Time,TOTAL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Net_Energy_kwh,energy_rate_kwh_per_km
0,18,NEAR_GGN-NEAR_MZF,2025-09-21 05:57:00.294,2025-09-21 10:37:03.519,8946,17186,210.36499999999978,144.82146075754753,04:40:03,05:57:00,10:37:03,205.22,42.894,162.327,0.77164
1,18,NEAR_MZF-NEAR_DDN,2025-09-21 11:29:04.239,2025-09-21 17:10:30.462,19767,32816,143.75,85.67558173377637,05:41:26,00:52:00,06:33:26,158.002,67.941,90.062,0.62652
2,18,NEAR_DDN-NEAR_MZF,2025-09-21 18:59:02.981,2025-09-21 21:54:06.335,37655,42533,124.57999999999993,85.69085354552335,02:55:03,01:48:32,04:43:35,114.936,19.726,95.21,0.76425
3,18,NEAR_MZF-NEAR_GGN,2025-09-21 22:50:02.369,2025-09-22 02:53:07.486,45046,52224,207.65999999999985,144.9030432030874,04:03:05,00:55:56,04:59:01,193.679,42.789,150.891,0.72663
4,18,NEAR_GGN-NEAR_MZF,2025-09-22 05:55:07.641,2025-09-22 10:59:00.942,56707,65710,208.75,145.0444384608329,05:03:53,03:02:00,08:05:53,194.714,35.362,159.352,0.76336
5,18,NEAR_MZF-NEAR_DDN,2025-09-22 11:35:00.023,2025-09-22 13:52:01.852,67056,72558,125.125,85.6728591868263,02:17:01,00:35:59,02:53:00,131.973,17.592,114.381,0.91413
6,18,NEAR_DDN-NEAR_MZF,2025-09-22 16:55:01.928,2025-09-22 19:47:00.922,80783,87369,125.375,85.68968723255497,02:51:58,03:03:00,05:54:59,122.712,23.674,99.039,0.78994
7,19,NEAR_DDN-NEAR_MZF,2025-09-21 04:55:00.713,2025-09-21 07:26:02.101,105820,111490,125.03999999999996,85.98880616615796,02:31:01,03:49:52,06:20:54,100.135,22.778,77.356,0.61865
8,19,NEAR_MZF-NEAR_GGN,2025-09-21 08:24:02.262,2025-09-21 12:48:04.501,112068,118413,198.89500000000044,144.9834249699585,04:24:02,00:58:00,05:22:02,181.908,42.422,139.487,0.70131
9,19,NEAR_GGN-NEAR_MZF,2025-09-22 14:32:05.736,2025-09-22 20:20:05.477,146404,154143,206.64999999999964,145.0962698161504,05:47:59,25:44:01,31:32:00,174.474,59.743,114.731,0.55519
10,19,NEAR_MZF-NEAR_DDN,2025-09-22 21:12:17.698,2025-09-22 23:23:08.726,156582,161353,125.125,85.7581017321053,02:10:51,00:52:12,03:03:03,153.079,24.585,128.495,1.02693
