,vehicle_id,Trip_Name,Departure_Time,Arrival_Time,Departure_Index,Arrival_Index,ODO_Distance_km,GPS_Distance_km,TRAVEL_Time,HALT_Time,TOTAL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Net_Energy_kWh,Idling_Energy_kWh,Energy_Rate_kWh_per_km
0,18,GGN-MZF,2025-09-21 05:57:00.294,2025-09-21 10:37:03.519,8946,17186,210.36,144.82,04:40:03,05:57:00,10:37:03,227.38,48.49,178.89,4.1,0.85
1,18,MZF-DDN,2025-09-21 11:29:04.239,2025-09-21 17:10:30.462,19767,32816,143.75,85.68,05:41:26,00:52:00,06:33:26,188.26,26.5,161.76,4.97,1.125
2,18,DDN-MZF,2025-09-21 18:59:02.981,2025-09-21 21:54:06.335,37655,42533,124.58,85.69,02:55:03,01:48:32,04:43:35,100.3,21.33,78.97,4.19,0.634
3,18,MZF-GGN,2025-09-21 22:50:02.369,2025-09-22 02:53:07.486,45046,52224,207.66,144.9,04:03:05,00:55:56,04:59:01,225.41,45.85,179.56,0.8,0.865
4,18,GGN-MZF,2025-09-22 05:55:07.641,2025-09-22 10:59:00.942,56707,65710,208.75,145.04,05:03:53,03:02:00,08:05:53,204.23,39.39,164.84,5.44,0.79
5,18,MZF-DDN,2025-09-22 11:35:00.023,2025-09-22 13:52:01.852,67056,72558,125.12,85.67,02:17:01,00:35:59,02:53:00,165.17,22.13,143.04,1.25,1.143
6,18,DDN-MZF,2025-09-22 16:55:01.928,2025-09-22 19:47:00.922,80783,87369,125.38,85.69,02:51:58,03:03:00,05:54:59,146.96,26.31,120.65,3.76,0.962
7,18,MZF-GGN,2025-09-22 20:43:04.163,2025-09-23 00:42:01.398,90255,97034,202.75,145.07,03:58:57,00:56:03,04:55:00,226.94,37.49,189.45,1.55,0.934
8,18,GGN-MZF,2025-09-23 05:47:05.103,2025-09-23 10:51:06.413,106309,115440,203.64,144.91,05:04:01,05:05:03,10:09:05,238.78,38.82,199.96,4.99,0.982
9,18,MZF-DDN,2025-09-23 11:38:03.693,2025-09-23 14:26:01.164,117829,124499,125.02,85.79,02:47:57,00:46:57,03:34:54,160.23,22.33,137.9,3.66,1.103
10,18,DDN-MZF,2025-09-23 16:49:05.170,2025-09-23 19:48:11.292,130020,136411,124.29,85.79,02:59:06,02:23:04,05:22:10,120.1,38.89,81.21,5.06,0.653
11,18,MZF-GGN,2025-09-23 20:32:00.791,2025-09-24 00:50:41.715,138580,145198,208.88,145.04,04:18:40,00:43:49,05:02:30,217.82,53.65,164.17,1.77,0.786
12,18,GGN-MZF,2025-09-24 06:09:22.206,2025-09-24 10:49:32.538,155348,162983,207.12,145.0,04:40:10,05:18:40,09:58:50,205.94,42.07,163.87,3.56,0.791
13,18,MZF-DDN,2025-09-24 11:29:01.578,2025-09-24 14:08:01.751,163260,169507,125.01,85.65,02:39:00,00:39:29,03:18:29,147.69,25.18,122.51,2.99,0.98
14,18,DDN-MZF,2025-09-24 16:32:02.911,2025-09-24 19:51:07.920,176006,184543,124.38,85.82,03:19:05,02:24:01,05:43:06,120.48,31.86,88.62,5.95,0.712
15,19,DDN-MZF,2025-09-21 04:55:00.713,2025-09-21 07:26:02.101,202114,207784,125.04,85.99,02:31:01,03:49:52,06:20:54,114.96,27.2,87.76,2.46,0.702
16,19,MZF-GGN,2025-09-21 08:24:02.262,2025-09-21 12:48:04.501,208362,214707,198.9,144.98,04:24:02,00:58:00,05:22:02,193.38,45.53,147.85,10.16,0.743
17,19,GGN-MZF,2025-09-22 14:32:05.736,2025-09-22 20:20:05.477,242698,250437,206.65,145.1,05:47:59,25:44:01,31:32:00,200.0,54.64,145.36,4.74,0.703
18,19,MZF-DDN,2025-09-22 21:12:17.698,2025-09-22 23:23:08.726,252876,257647,125.12,85.76,02:10:51,00:52:12,03:03:03,151.79,30.74,121.05,0.0,0.967
19,19,DDN-MZF,2025-09-23 04:59:57.803,2025-09-23 07:30:29.945,274644,280065,120.53,85.8,02:30:32,05:36:49,08:07:21,107.92,22.76,85.16,1.17,0.707
20,19,MZF-GGN,2025-09-23 08:25:04.355,2025-09-23 14:00:01.444,282530,290427,198.61,145.06,05:34:57,00:54:34,06:29:31,182.47,43.28,139.19,3.45,0.701
21,19,GGN-MZF,2025-09-23 15:29:05.997,2025-09-23 22:06:03.502,292065,301260,206.88,144.83,06:36:57,01:29:04,08:06:02,230.36,41.82,188.54,9.63,0.911
22,19,MZF-DDN,2025-09-23 23:01:52.133,2025-09-24 01:34:00.067,303799,309060,134.62,85.8,02:32:07,00:55:48,03:27:56,170.92,25.97,144.95,0.32,1.077
23,19,DDN-MZF,2025-09-24 05:09:03.327,2025-09-24 07:36:00.032,319250,324921,126.6,85.88,02:26:56,03:35:03,06:01:59,122.48,18.38,104.1,1.7,0.822
24,19,MZF-GGN,2025-09-24 08:21:05.392,2025-09-24 13:39:01.055,325265,333212,208.38,145.24,05:17:55,00:45:05,06:03:01,216.77,53.51,163.26,1.09,0.783
25,19,GGN-MZF,2025-09-24 15:41:10.698,2025-09-24 21:14:03.709,335926,343380,207.28,144.82,05:32:53,02:02:09,07:35:02,216.91,61.92,154.99,2.14,0.748
