,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc
17186,18,2025-09-21 05:07:03.519,2025-09-21,2025-09-21 10:37:03.519,2025-09-21 05:07:00,311.7,623.3,2.0,2845.875,60.53,1.0,0.0,1.0,29.547909,77.74651,254.7,73.2,NEAR_MZF,202.91
17208,18,2025-09-21 05:08:00.639,2025-09-21,2025-09-21 10:38:00.639,2025-09-21 05:08:00,18.4,628.8,2.0,2846.5,0.07,1.0,0.0,1.0,29.549381,77.747734,255.9,3.92,NEAR_MZF,4.98
17209,18,2025-09-21 05:08:02.043,2025-09-21,2025-09-21 10:38:02.043,2025-09-21 05:08:00,17.8,629.3,1.0,2846.5,0.0,1.0,0.0,1.0,29.549334,77.74768,256.7,2.83,NEAR_MZF,8.96
17210,18,2025-09-21 05:08:04.219,2025-09-21,2025-09-21 10:38:04.219,2025-09-21 05:08:00,21.2,629.2,1.0,2846.5,2.09,1.0,0.0,1.0,29.549337,77.747635,256.7,0.0,NEAR_MZF,10.42
17211,18,2025-09-21 05:08:05.459,2025-09-21,2025-09-21 10:38:05.459,2025-09-21 05:08:00,21.5,629.2,1.0,2846.5,2.21,1.0,0.0,1.0,29.549353,77.747604,256.4,0.0,NEAR_MZF,11.28
17225,18,2025-09-21 05:08:31.879,2025-09-21,2025-09-21 10:38:31.879,2025-09-21 05:08:00,23.6,629.3,1.0,2846.5,0.0,1.0,0.0,1.0,29.549353,77.747604,256.4,,NEAR_MZF,11.28
17239,18,2025-09-21 05:09:00.359,2025-09-21,2025-09-21 10:39:00.359,2025-09-21 05:09:00,23.3,629.6,1.0,2846.5,1.75,1.0,0.0,1.0,29.549368,77.7476,256.2,0.0,NEAR_MZF,10.72
17240,18,2025-09-21 05:09:02.479,2025-09-21,2025-09-21 10:39:02.479,2025-09-21 05:09:00,32.5,629.6,1.0,2846.5,2.26,1.0,0.0,1.0,29.549372,77.74759,256.1,0.0,NEAR_MZF,11.4
17241,18,2025-09-21 05:09:04.379,2025-09-21,2025-09-21 10:39:04.379,2025-09-21 05:09:00,17.3,629.6,1.0,2846.5,2.05,1.0,0.0,1.0,29.549389,77.74756,256.1,0.0,NEAR_MZF,13.61
17242,18,2025-09-21 05:09:06.379,2025-09-21,2025-09-21 10:39:06.379,2025-09-21 05:09:00,29.1,629.6,1.0,2846.5,1.56,1.0,0.0,1.0,29.549393,77.74756,256.1,0.0,NEAR_MZF,13.53
17243,18,2025-09-21 05:09:08.439,2025-09-21,2025-09-21 10:39:08.439,2025-09-21 05:09:00,,,1.0,2846.5,1.72,1.0,0.0,1.0,29.549397,77.74755,256.2,0.0,NEAR_MZF,14.43
17244,18,2025-09-21 05:09:11.519,2025-09-21,2025-09-21 10:39:11.519,2025-09-21 05:09:00,16.7,629.6,1.0,2846.5,1.18,1.0,0.0,1.0,29.549398,77.74755,256.2,0.0,NEAR_MZF,14.41
17245,18,2025-09-21 05:09:13.260,2025-09-21,2025-09-21 10:39:13.260,2025-09-21 05:09:00,18.1,629.6,1.0,2846.5,0.5,1.0,0.0,1.0,29.549402,77.74754,256.3,0.0,NEAR_MZF,15.33
17246,18,2025-09-21 05:09:16.719,2025-09-21,2025-09-21 10:39:16.719,2025-09-21 05:09:00,32.3,629.2,1.0,2846.5,1.28,1.0,0.0,1.0,29.549404,77.74754,256.5,0.0,NEAR_MZF,15.32
17248,18,2025-09-21 05:09:20.239,2025-09-21,2025-09-21 10:39:20.239,2025-09-21 05:09:00,14.1,629.6,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17249,18,2025-09-21 05:09:23.420,2025-09-21,2025-09-21 10:39:23.420,2025-09-21 05:09:00,14.0,629.7,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17250,18,2025-09-21 05:09:25.220,2025-09-21,2025-09-21 10:39:25.220,2025-09-21 05:09:00,14.1,629.8,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17251,18,2025-09-21 05:09:26.599,2025-09-21,2025-09-21 10:39:26.599,2025-09-21 05:09:00,14.1,629.8,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17252,18,2025-09-21 05:09:28.499,2025-09-21,2025-09-21 10:39:28.499,2025-09-21 05:09:00,14.1,629.9,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17253,18,2025-09-21 05:09:30.459,2025-09-21,2025-09-21 10:39:30.459,2025-09-21 05:09:00,13.8,629.9,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17254,18,2025-09-21 05:09:33.159,2025-09-21,2025-09-21 10:39:33.159,2025-09-21 05:09:00,13.8,629.9,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17255,18,2025-09-21 05:09:34.879,2025-09-21,2025-09-21 10:39:34.879,2025-09-21 05:09:00,13.9,629.9,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17256,18,2025-09-21 05:09:37.021,2025-09-21,2025-09-21 10:39:37.021,2025-09-21 05:09:00,13.9,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17257,18,2025-09-21 05:09:39.959,2025-09-21,2025-09-21 10:39:39.959,2025-09-21 05:09:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17258,18,2025-09-21 05:09:42.639,2025-09-21,2025-09-21 10:39:42.639,2025-09-21 05:09:00,13.8,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17259,18,2025-09-21 05:09:45.099,2025-09-21,2025-09-21 10:39:45.099,2025-09-21 05:09:00,13.9,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17260,18,2025-09-21 05:09:46.979,2025-09-21,2025-09-21 10:39:46.979,2025-09-21 05:09:00,13.9,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17261,18,2025-09-21 05:09:48.859,2025-09-21,2025-09-21 10:39:48.859,2025-09-21 05:09:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17262,18,2025-09-21 05:09:52.359,2025-09-21,2025-09-21 10:39:52.359,2025-09-21 05:09:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17263,18,2025-09-21 05:09:53.680,2025-09-21,2025-09-21 10:39:53.680,2025-09-21 05:09:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17264,18,2025-09-21 05:09:55.360,2025-09-21,2025-09-21 10:39:55.360,2025-09-21 05:09:00,13.9,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17265,18,2025-09-21 05:09:56.659,2025-09-21,2025-09-21 10:39:56.659,2025-09-21 05:09:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17266,18,2025-09-21 05:09:59.320,2025-09-21,2025-09-21 10:39:59.320,2025-09-21 05:09:00,14.1,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549404,77.74754,256.5,,NEAR_MZF,15.32
17267,18,2025-09-21 05:10:02.559,2025-09-21,2025-09-21 10:40:02.559,2025-09-21 05:10:00,14.1,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549408,77.74754,256.5,0.0,NEAR_MZF,15.29
17268,18,2025-09-21 05:10:05.260,2025-09-21,2025-09-21 10:40:05.260,2025-09-21 05:10:00,14.1,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549408,77.74754,256.5,0.0,NEAR_MZF,15.29
17269,18,2025-09-21 05:10:06.899,2025-09-21,2025-09-21 10:40:06.899,2025-09-21 05:10:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.5,0.0,NEAR_MZF,15.67
17270,18,2025-09-21 05:10:10.299,2025-09-21,2025-09-21 10:40:10.299,2025-09-21 05:10:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.5,0.0,NEAR_MZF,15.67
17271,18,2025-09-21 05:10:12.299,2025-09-21,2025-09-21 10:40:12.299,2025-09-21 05:10:00,13.8,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.6,0.0,NEAR_MZF,15.67
17272,18,2025-09-21 05:10:13.859,2025-09-21,2025-09-21 10:40:13.859,2025-09-21 05:10:00,13.8,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.7,0.0,NEAR_MZF,15.67
17273,18,2025-09-21 05:10:15.260,2025-09-21,2025-09-21 10:40:15.260,2025-09-21 05:10:00,14.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.7,0.0,NEAR_MZF,15.67
17274,18,2025-09-21 05:10:16.759,2025-09-21,2025-09-21 10:40:16.759,2025-09-21 05:10:00,13.9,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.7,0.0,NEAR_MZF,15.67
17275,18,2025-09-21 05:10:18.268,2025-09-21,2025-09-21 10:40:18.268,2025-09-21 05:10:00,14.4,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,0.0,NEAR_MZF,15.67
