,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc,source_row_index,nxt_state,session_number,session_rank_asc,session_rank_desc
0,18,2025-09-20 18:30:00.247,2025-09-20,2025-09-21 00:00:00.247,2025-09-20 18:30:00,1.3,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423038,76.99171,224.1,0.0,GGN,6.2,0,,1,1,1513
1512,18,2025-09-21 00:27:00.294,2025-09-21,2025-09-21 05:57:00.294,2025-09-21 00:27:00,167.1,636.4,2.0,2635.5299446024856,26.23,1.0,0.0,1.0,28.424402,76.993355,211.8,0.0,GGN,215.5,8946,GGN,1,1513,1
1513,18,2025-09-21 05:07:03.519,2025-09-21,2025-09-21 10:37:03.519,2025-09-21 05:07:00,311.7,623.3,2.0,2845.875,60.53,1.0,0.0,1.0,29.547909,77.74651,254.7,73.2,MZF,202.91,17186,GGN,2,1,1143
2655,18,2025-09-21 05:59:04.239,2025-09-21,2025-09-21 11:29:04.239,2025-09-21 05:59:00,,,2.0,2846.613513062349,4.95,1.0,0.0,,29.550276,77.74855,256.0,45.1,MZF,126.49,19767,MZF,2,1143,1
2656,18,2025-09-21 11:40:30.462,2025-09-21,2025-09-21 17:10:30.462,2025-09-21 11:40:00,15.1,622.3,0.0,2990.25,0.0,1.0,0.0,1.0,30.289091,78.00086,617.6,2.99,DDN,232.55,32816,MZF,3,1,575
3230,18,2025-09-21 13:29:02.981,2025-09-21,2025-09-21 18:59:02.981,2025-09-21 13:29:00,-8.5,641.9,2.0,2991.375,6.21,1.0,0.0,1.0,30.289362,77.99992,596.2,34.65,DDN,201.43,37655,DDN,3,575,1
3231,18,2025-09-21 16:24:06.335,2025-09-21,2025-09-21 21:54:06.335,2025-09-21 16:24:00,4.8,630.9,2.0,3115.9337694194605,76.16,1.0,0.0,,29.550158,77.74857,249.6,74.88,MZF,118.23,42533,DDN,4,1,518
3748,18,2025-09-21 17:20:02.369,2025-09-21,2025-09-21 22:50:02.369,2025-09-21 17:20:00,312.1,630.4,2.0,3119.0345257903496,60.04,1.0,0.0,1.0,29.547815,77.746544,254.8,58.0,MZF,209.84,45046,MZF,4,518,1
3749,18,2025-09-21 21:23:07.486,2025-09-21,2025-09-22 02:53:07.486,2025-09-21 21:23:00,208.9,624.4,2.0,3326.7256871035943,38.04,1.0,0.0,1.0,28.423805,76.992714,223.2,13.65,GGN,124.6,52224,MZF,5,1,1079
4827,18,2025-09-22 00:25:07.641,2025-09-22,2025-09-22 05:55:07.641,2025-09-22 00:25:00,16.7,640.2,2.0,3327.25,5.98,1.0,0.0,1.0,28.424206,76.99308,216.8,28.97,GGN,180.97,56707,GGN,5,1079,1
4828,18,2025-09-22 05:29:00.942,2025-09-22,2025-09-22 10:59:00.942,2025-09-22 05:29:00,,,,3536.0,,,,0.0,29.54942,77.747444,258.6,0.0,MZF,24.58,65710,GGN,6,1,355
5182,18,2025-09-22 06:05:00.023,2025-09-22,2025-09-22 11:35:00.023,2025-09-22 06:05:00,245.4,634.8,2.0,3536.125,38.37,1.0,0.0,1.0,29.550282,77.74857,257.6,0.0,MZF,128.27,67056,MZF,6,355,1
5183,18,2025-09-22 08:22:01.852,2025-09-22,2025-09-22 13:52:01.852,2025-09-22 08:22:00,74.5,625.4,2.0,3661.25,37.07,1.0,0.0,1.0,30.289215,78.00032,621.4,0.0,DDN,207.19,72558,MZF,7,1,1353
