,vehicle_id,Bus Number,Trip,Start,End
0,18,DL1PD8509,GGN-MZF,2025-09-24 06:01:04.506,2025-09-24 10:36:01.279
1,18,DL1PD8509,MZF-DDN,2025-09-24 11:23:46.798,2025-09-24 14:08:00.191
2,18,DL1PD8509,DDN-MZF,2025-09-24 16:12:02.532,2025-09-24 19:55:03.100
3,18,DL1PD8509,MZF-GGN,2025-09-24 20:30:02.300,2025-09-25 01:24:24.799
4,18,DL1PD8509,GGN-MZF,2025-09-25 05:30:01.759,2025-09-25 10:31:09.886
5,18,DL1PD8509,MZF-DDN,2025-09-25 10:59:03.006,2025-09-25 13:55:11.070
6,18,DL1PD8509,DDN-MZF,2025-09-25 16:48:01.232,2025-09-25 19:39:14.022
7,18,DL1PD8509,MZF-GGN,2025-09-25 20:10:00.562,2025-09-26 02:57:00.087
8,18,DL1PD8509,GGN-MZF,2025-09-26 06:01:00.183,2025-09-26 10:41:03.289
9,18,DL1PD8509,MZF-DDN,2025-09-26 11:30:44.715,2025-09-26 14:29:04.174
10,18,DL1PD8509,DDN-MZF,2025-09-26 17:14:04.332,2025-09-26 20:20:03.230
11,18,DL1PD8509,MZF-GGN,2025-09-26 21:05:00.744,2025-09-27 01:36:22.783
12,18,DL1PD8509,GGN-MZF,2025-09-27 05:38:00.244,2025-09-27 10:31:18.179
13,18,DL1PD8509,MZF-DDN,2025-09-27 11:01:01.478,2025-09-27 14:10:15.801
14,18,DL1PD8509,DDN-MZF,2025-09-27 16:38:02.427,2025-09-27 19:53:03.469
15,18,DL1PD8509,MZF-GGN,2025-09-27 20:27:00.148,2025-09-28 01:20:05.630
16,18,DL1PD8509,GGN-MZF,2025-09-28 05:41:01.409,2025-09-28 10:06:03.059
17,18,DL1PD8509,MZF-DDN,2025-09-28 11:01:05.440,2025-09-28 13:41:09.200
18,18,DL1PD8509,DDN-GGN,2025-09-28 16:06:01.026,2025-09-29 00:53:12.921
19,18,DL1PD8509,GGN-DDN,2025-09-29 05:29:02.691,2025-09-29 14:04:07.645
20,19,DL1PD8523,DDN-MZF,2025-09-24 05:02:00.496,2025-09-24 07:37:16.152
21,19,DL1PD8523,MZF-GGN,2025-09-24 08:15:00.432,2025-09-24 13:42:18.223
22,19,DL1PD8523,GGN-MZF,2025-09-24 15:40:02.459,2025-09-24 21:16:18.229
23,19,DL1PD8523,MZF-DDN,2025-09-24 21:48:00.349,2025-09-25 00:27:06.717
24,19,DL1PD8523,DDN-MZF,2025-09-25 04:51:03.678,2025-09-25 07:26:08.306
25,19,DL1PD8523,MZF-GGN,2025-09-25 08:01:25.306,2025-09-25 13:20:00.137
26,19,DL1PD8523,GGN-MZF,2025-09-25 15:05:03.502,2025-09-26 00:27:26.678
27,19,DL1PD8523,MZF-DDN,2025-09-26 02:17:00.512,2025-09-26 04:45:16.454
28,19,DL1PD8523,DDN-MZF,2025-09-26 06:41:00.051,2025-09-26 09:33:12.624
29,19,DL1PD8523,MZF-GGN,2025-09-26 10:05:00.142,2025-09-26 14:48:17.645
30,19,DL1PD8523,GGN-MZF,2025-09-26 17:28:00.494,2025-09-26 23:59:12.735
31,19,DL1PD8523,MZF-DDN,2025-09-27 00:45:51.679,2025-09-27 03:08:07.351
32,19,DL1PD8523,DDN-MZF,2025-09-27 05:09:06.072,2025-09-27 07:31:01.011
33,19,DL1PD8523,MZF-GGN,2025-09-27 08:29:03.915,2025-09-27 13:32:10.049
34,19,DL1PD8523,GGN-MZF,2025-09-27 15:37:11.709,2025-09-27 21:52:00.372
35,19,DL1PD8523,MZF-DDN,2025-09-27 22:46:00.437,2025-09-28 02:19:02.427
36,19,DL1PD8523,DDN-MZF,2025-09-28 05:05:09.547,2025-09-28 07:30:03.714
37,19,DL1PD8523,MZF-GGN,2025-09-28 08:09:00.573,2025-09-28 12:35:04.532
38,19,DL1PD8523,GGN-MZF,2025-09-28 15:44:23.658,2025-09-28 21:09:02.987
39,19,DL1PD8523,MZF-DDN,2025-09-28 22:17:04.364,2025-09-29 01:04:13.030
40,19,DL1PD8523,DDN-MZF,2025-09-29 04:54:07.710,2025-09-29 07:28:01.510
41,19,DL1PD8523,MZF-GGN,2025-09-29 08:14:02.201,2025-09-29 13:08:11.542
42,19,DL1PD8523,GGN-MZF,2025-09-29 14:29:08.906,2025-09-29 21:49:02.227
