idx,start,end,duration_s,max_bpp,max_bpp_bucket,avg_bpp,ttl_dist_m,start_vel,peak_vel,avg_decel_mps2,braking_force_kgf
1,22/09/25 14:32:53,22/09/25 14:33:01,8.26,30.00,30-35,17.70,27.38,26.52,26.52,0.89,1227.73
2,22/09/25 16:26:03,22/09/25 16:26:15,12.02,32.40,30-35,18.60,52.81,40.30,40.30,0.93,1282.07
3,22/09/25 18:46:52,22/09/25 18:47:05,13.40,22.00,20-25,11.96,51.09,32.63,32.63,0.68,931.16
4,22/09/25 20:15:32,22/09/25 20:15:46,14.24,39.60,35-40,23.54,98.76,60.11,60.11,1.17,1614.16
5,22/09/25 21:53:48,22/09/25 21:54:03,14.62,18.40,15-20,14.20,58.29,33.93,33.93,0.64,887.46
6,22/09/25 22:18:05,22/09/25 22:18:18,12.66,51.20,50-55,30.55,124.10,74.11,74.11,1.63,2238.48
7,22/09/25 22:23:37,22/09/25 22:23:47,10.39,36.00,35-40,26.00,48.30,41.68,41.68,1.11,1533.40
8,22/09/25 22:40:02,22/09/25 22:40:17,14.20,31.60,30-35,17.37,81.31,44.43,44.43,0.87,1196.12
9,22/09/25 23:09:33,22/09/25 23:09:44,11.04,33.20,30-35,20.80,50.85,46.76,46.76,1.18,1619.78
10,22/09/25 23:10:26,22/09/25 23:10:33,7.54,36.80,35-40,25.54,22.14,33.21,33.21,1.22,1683.36
11,22/09/25 23:13:07,22/09/25 23:13:22,14.64,27.20,25-30,16.29,74.28,38.60,38.60,0.73,1008.29
12,22/09/25 23:15:32,22/09/25 23:15:46,14.02,30.80,30-35,14.68,55.79,30.91,30.91,0.61,843.01
13,22/09/25 23:18:00,22/09/25 23:18:14,14.28,26.80,25-30,16.92,76.03,40.91,40.91,0.80,1095.58
14,23/09/25 05:31:06,23/09/25 05:31:20,14.58,36.00,35-40,21.08,102.12,53.78,53.78,1.02,1410.50
15,23/09/25 05:39:01,23/09/25 05:39:15,14.30,26.80,25-30,17.51,46.69,32.79,32.79,0.64,876.77
16,23/09/25 05:58:36,23/09/25 05:58:50,14.20,32.00,30-35,19.75,59.21,45.04,45.04,0.88,1212.89
17,23/09/25 06:05:04,23/09/25 06:05:15,10.64,32.00,30-35,18.67,39.56,32.53,32.53,0.85,1169.32
18,23/09/25 06:08:38,23/09/25 06:08:52,13.74,33.60,30-35,22.53,56.72,41.56,41.56,0.84,1156.64
19,23/09/25 06:22:36,23/09/25 06:22:48,12.52,40.00,40-45,26.97,65.77,60.70,60.70,1.35,1853.94
20,23/09/25 06:53:23,23/09/25 06:53:36,13.87,46.80,45-50,30.98,140.88,72.51,72.51,1.45,1999.23
21,23/09/25 09:50:04,23/09/25 09:50:19,14.98,35.20,35-40,20.17,70.39,38.86,38.86,0.72,992.04
22,23/09/25 09:51:27,23/09/25 09:51:38,11.54,37.20,35-40,21.92,62.32,39.38,39.38,0.95,1304.91
23,23/09/25 10:20:03,23/09/25 10:20:14,10.48,43.60,40-45,25.12,59.81,54.58,54.58,1.45,1991.32
24,23/09/25 11:20:47,23/09/25 11:21:01,13.84,31.20,30-35,23.33,51.79,31.59,31.59,0.63,872.76
25,23/09/25 12:50:54,23/09/25 12:51:08,14.74,29.60,25-30,16.25,38.11,29.96,29.96,0.56,777.24
26,23/09/25 12:55:07,23/09/25 12:55:16,9.40,48.40,45-50,28.96,23.87,46.56,46.56,1.38,1894.07
27,23/09/25 13:26:01,23/09/25 13:26:10,8.90,22.40,20-25,18.07,29.45,31.55,31.55,0.98,1355.56
28,23/09/25 13:43:53,23/09/25 13:44:07,14.58,32.00,30-35,17.05,63.74,38.16,38.16,0.73,1000.83
29,23/09/25 15:32:13,23/09/25 15:32:20,6.20,32.40,30-35,19.70,10.83,25.03,25.03,1.12,1543.76
30,23/09/25 15:43:21,23/09/25 15:43:34,12.70,26.40,25-30,12.40,21.69,26.36,26.36,0.58,793.69
31,23/09/25 16:33:05,23/09/25 16:33:18,13.52,19.60,15-20,9.85,44.94,27.64,27.64,0.57,781.76
32,23/09/25 17:03:56,23/09/25 17:04:09,12.86,38.80,35-40,26.53,42.82,47.54,47.54,1.03,1413.61
33,23/09/25 17:17:38,23/09/25 17:17:51,13.56,40.40,40-45,33.20,121.59,79.60,79.60,1.63,2244.73
34,23/09/25 21:06:16,23/09/25 21:06:31,14.82,37.20,35-40,24.83,113.51,57.02,57.02,1.07,1470.76
