state_run_id,mode,b2t_tms_control_cmd,tms_working_mode,start_time,end_time,duration_mins,comp_status_on_time,comp_status_off_time,comp_duty_cycle,batt_temp_start,batt_temp_end,batt_temp_med,coolant_in_start,coolant_in_end,coolant_out_start,coolant_out_end,soc_start,soc_end,maxvolt_cellnum_mode,max_cellvolt,minvolt_cellnum_mode,min_cellvolt,soc_delta,batt_temp_delta,temp_rate_C_per_min,coolant_in_delta,coolant_out_delta,voltage_delta
1,Drive,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-01 00:00:00,2025-10-01 01:33:18,92.81,54.45,38.36,47.62,35,29,32.0,26,23,24,24,54.8,43.2,28,3.2755,48,3.2689,-11.6,-6,-0.065,-3,0,0.0067
2,Drive,Self_Circulation,Self_Circulation,2025-10-01 01:33:20,2025-10-01 01:39:06,5.77,0.0,5.77,0.0,29,28,28.0,23,24,24,24,43.2,43.2,280,3.277,48,3.273,0.0,-1,-0.173,1,0,0.004
3,Idle/Other,Off,Off,2025-10-01 01:39:07,2025-10-01 01:59:09,20.03,0.0,20.03,0.0,28,30,29.0,24,24,24,25,43.2,50.4,479,3.352,108,3.345,7.2,2,0.1,0,1,0.007
4,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-01 01:59:10,2025-10-01 03:29:21,88.67999999999999,48.089999999999996,40.589999999999996,48.89,30,31,31.0,24,23,25,21,50.4,100.0,479,3.4025,28,3.3863,49.6,1,0.011,-1,-4,0.0163
5,Idle/Other,Off,Off,2025-10-01 03:38:50,2025-10-01 04:20:07,41.28,0.0,41.28,0.0,30,30,30.0,23,24,21,24,100.0,99.6,574,3.401,413,3.341,-0.4,0,0.0,1,3,0.06
6,Drive,Off,Off,2025-10-01 04:20:08,2025-10-01 07:55:07,213.61,133.5,80.11,50.0,30,35,32.0,24,13,24,16,99.6,68.4,64,3.3114,82,3.3054,-31.2,5,0.023,-11,-8,0.006
7,Drive,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-01 07:55:08,2025-10-01 08:16:18,21.040000000000003,18.169999999999998,2.87,42.86,35,34,35.0,13,22,17,19,68.4,65.6,476,3.3101,413,3.2951,-2.8,-1,-0.048,9,2,0.015
8,Charging/Park,Charging_Cooling,Off,2025-10-01 08:17:00,2025-10-01 08:17:12,0.21,0.0,0.21,0.0,34,34,34.0,22,22,19,20,65.6,65.6,472,3.318,490,3.299,0.0,0,0.0,0,1,0.019
9,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-01 08:17:14,2025-10-01 08:37:00,19.7,0.9299999999999999,18.77,40.0,34,36,35.0,22,22,20,19,65.6,80.0,479,3.3772,490,3.3614,14.4,2,0.102,0,-1,0.0158
10,Idle/Other,Off,Off,2025-10-01 08:44:14,2025-10-01 08:45:10,0.93,0.0,0.93,0.0,34,34,34.0,22,23,22,22,,80.0,42,3.338,82,3.336,,0,0.0,1,0,0.002
11,Drive,Off,Off,2025-10-01 08:45:11,2025-10-01 08:57:21,12.17,12.17,0.0,100.0,34,35,34.0,23,18,22,19,80.0,78.0,64,3.333,82,3.33,-2.0,1,0.082,-5,-3,0.003
12,Drive,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-01 08:57:23,2025-10-01 11:37:52,160.14000000000001,124.01,36.129999999999995,52.63,35,29,30.0,18,19,18,17,78.0,51.2,96,3.2891,48,3.2828,-26.8,-6,-0.037,1,-1,0.0063
13,Drive,Self_Circulation,Self_Circulation,2025-10-01 11:37:54,2025-10-01 11:48:05,10.16,3.61,6.55,33.33,29,28,28.0,19,21,16,20,51.2,48.8,86,3.2507,48,3.2433,-2.4,-1,-0.098,2,4,0.0073
14,Drive,Off,Off,2025-10-01 11:48:06,2025-10-01 12:58:47,67.51,12.05,55.46,45.45,28,30,28.0,21,22,20,24,48.8,44.8,86,3.2762,48,3.2697,-4.0,2,0.03,1,4,0.0065
15,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-01 12:59:01,2025-10-01 14:14:19,75.11,57.06999999999999,18.04,50.0,30,32,31.0,22,14,24,11,45.2,100.0,220,3.3884,96,3.3755,54.8,2,0.027,-8,-13,0.0129
16,Idle/Other,Off,Off,2025-10-01 15:31:00,2025-10-01 16:06:24,35.4,0.0,35.4,0.0,29,28,29.0,19,24,19,23,,99.6,574,3.385,413,3.337,,-1,-0.028,5,4,0.048
17,Drive,Off,Off,2025-10-01 16:06:25,2025-10-01 21:37:21,329.24,103.65,225.59,51.02,28,33,30.0,24,16,23,16,99.6,77.2,64,3.3213,48,3.3161,-22.4,5,0.015,-8,-7,0.0052
18,Idle/Other,Off,Off,2025-10-01 21:37:21,2025-10-01 21:44:20,6.98,0.0,6.98,0.0,33,33,33.0,16,20,16,20,,76.4,64,3.312,48,3.306,,0,0.0,4,4,0.006
19,Drive,Off,Off,2025-10-01 21:44:21,2025-10-02 00:41:06,176.1,68.29,107.81,50.0,33,35,34.0,20,19,20,20,76.4,52.8,86,3.2929,490,3.2832,-23.6,2,0.011,-1,0,0.0097
20,Drive,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-02 00:41:08,2025-10-02 01:58:18,77.03999999999999,51.419999999999995,25.62,50.0,35,29,31.5,19,21,20,21,52.8,48.4,422,3.2824,48,3.2775,-4.4,-6,-0.078,2,1,0.0049
21,Drive,Self_Circulation,Self_Circulation,2025-10-02 01:59:01,2025-10-02 02:09:06,9.48,1.39,8.09,50.0,28,28,28.0,21,23,20,23,48.0,48.0,38,3.2815,48,3.2775,0.0,0,0.0,2,3,0.004
22,Drive,Off,Off,2025-10-02 02:09:09,2025-10-02 03:40:02,87.41,24.12,63.29,46.15,28,29,28.0,23,20,23,20,48.0,42.4,136,3.2725,48,3.2659,-5.6,1,0.011,-3,-3,0.0066
23,Idle/Other,Charging_Cooling,Charging_Cooling,2025-10-02 03:40:02,2025-10-02 03:40:08,0.1,0.0,0.1,0.0,30,30,30.0,20,21,20,21,,42.4,220,3.366,96,3.356,,0,0.0,1,1,0.01
24,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-02 03:41:01,2025-10-02 05:11:12,88.19,14.45,73.74000000000001,50.0,30,37,37.0,23,31,23,20,43.2,86.0,42,3.3685,82,3.3613,42.8,7,0.079,8,-3,0.0071
25,Charging/Park,Off,Off,2025-10-02 05:11:15,2025-10-02 05:11:18,0.05,0.0,0.05,0.0,37,37,37.0,31,31,21,21,86.0,86.0,422,3.338,82,3.334,0.0,0,0.0,0,0,0.004
26,Charging/Park,Charging_Cooling,Off,2025-10-02 05:11:21,2025-10-02 05:12:11,0.84,0.0,0.84,0.0,37,37,37.0,31,31,21,25,,86.0,38,3.337,252,3.334,,0,0.0,0,4,0.003
27,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-02 05:13:02,2025-10-02 05:28:13,14.51,3.15,11.36,42.86,37,38,38.0,31,31,25,20,86.4,100.0,480,3.445,28,3.4063,13.6,1,0.069,0,-5,0.0387
28,Charging/Park,Charging_Cooling,Off,2025-10-02 05:28:15,2025-10-02 05:36:02,7.78,0.0,7.78,0.0,38,38,38.0,31,32,22,30,100.0,100.0,574,3.448,413,3.348,0.0,0,0.0,1,8,0.1
29,Charging/Park,Fast_Discharge_Cooling,Off,2025-10-02 05:36:05,2025-10-02 05:41:01,4.93,0.0,4.93,0.0,38,38,38.0,32,32,30,30,100.0,,574,3.43,413,3.343,,0,0.0,0,0,0.087
30,Idle/Other,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-02 05:42:00,2025-10-02 05:58:13,16.04,0.8700000000000001,15.169999999999998,40.0,38,38,38.0,32,31,30,22,100.0,99.6,574,3.4136,413,3.3394,-0.4,0,0.0,-1,-8,0.0742
31,Drive,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-02 05:58:15,2025-10-02 10:03:13,240.82999999999998,204.12,36.71,52.63,38,29,38.0,31,18,21,16,99.6,88.4,28,3.3262,82,3.3174,-11.2,-9,-0.037,-13,-5,0.0088
32,Charging/Park,Fast_Discharge_Cooling,Fast_Discharge_Cooling,2025-10-02 10:04:00,2025-10-02 10:06:03,1.93,0.76,1.17,33.33,29,29,29.0,18,18,16,17,61.2,62.4,86,3.3063,31,3.297,1.2,0,0.0,0,1,0.0093
33,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-02 10:06:05,2025-10-02 10:35:01,28.05,24.11,3.94,33.33,30,31,31.0,18,20,17,19,62.4,79.6,479,3.3853,48,3.3733,17.2,1,0.036,2,2,0.012
34,Idle/Other,Charging_Cooling,Off,2025-10-02 10:35:03,2025-10-02 10:36:00,0.95,0.0,0.95,0.0,31,30,30.0,20,20,19,20,79.6,79.6,42,3.346,48,3.343,0.0,-1,-1.053,0,1,0.003
35,Idle/Other,Off,Off,2025-10-02 10:36:02,2025-10-02 10:38:13,2.18,0.0,2.18,0.0,30,30,30.0,20,20,20,19,79.6,,42,3.342,48,3.338,,0,0.0,0,-1,0.004
36,Drive,Off,Off,2025-10-02 10:38:16,2025-10-02 14:48:00,240.58,110.92999999999999,129.65,50.0,30,32,31.5,20,20,19,20,79.6,44.4,86,3.2882,48,3.2799,-35.2,2,0.008,0,1,0.0083
37,Idle/Other,Charging_Cooling,Off,2025-10-02 14:48:01,2025-10-02 14:53:05,5.07,0.0,5.07,0.0,32,32,32.0,20,20,20,20,,44.4,42,3.287,48,3.284,,0,0.0,0,0,0.003
38,Charging/Park,Charging_Cooling,Charging_Cooling,2025-10-02 14:53:07,2025-10-02 16:05:22,71.79,51.74,20.05,50.0,32,33,33.5,20,20,20,18,44.4,98.8,220,3.3932,96,3.3699,54.4,1,0.014,0,-2,0.0233
39,Idle/Other,Off,Off,2025-10-02 16:09:00,2025-10-02 17:30:12,81.19000000000001,0.04,81.15,50.0,33,30,32.0,20,24,13,23,,100.0,574,3.393,413,3.339,,-3,-0.037,4,10,0.054
40,Drive,Off,Off,2025-10-02 17:30:14,2025-10-02 23:57:19,370.52,100.14,270.38,50.77,30,33,31.0,24,18,23,18,100.0,58.4,28,3.3087,82,3.3019,-41.6,3,0.008,-6,-5,0.0068
