start_time,end_time,duration_mins,mode,vehicle_speed_start,vehilceready_start,gun_connection_status_start,b2t_battery_max_temp_start,b2t_battery_max_temp_end,b2t_battery_max_temp_med,mintemp_cellnum_start,mintemp_cellnum_end,mintemp_cellnum_mode,maxtemp_cellnum_start,maxtemp_cellnum_end,maxtemp_cellnum_mode,coolant_out_temp_start,coolant_out_temp_end,coolant_out_temp_med,coolant_in_temp_start,coolant_in_temp_end,coolant_in_temp_med,cell_max_voltage_med,cell_min_voltage_med,minvolt_cellnum_start,minvolt_cellnum_end,minvolt_cellnum_mode,maxvolt_cellnum_start,maxvolt_cellnum_end,maxvolt_cellnum_mode,compressor_start,compressor_end,b2t_tms_control_cmd,tms_working_mode,tms_fault_code
2025-10-01 00:00:00.776000+05:30,2025-10-01 01:33:18.115000+05:30,93.29,Drive,36.5,1.0,0.0,35,29,31.0,7.0,9.0,9.0,73.0,107.0,80.0,24,24,20.0,26,23,21.0,3.275,3.269,306.0,193.0,48.0,141.0,280.0,422.0,,Off,Fast_Discharge_Cooling,Fast_Discharge_Cooling,No Fault
2025-10-01 01:33:20.195000+05:30,2025-10-01 01:39:06.653000+05:30,5.77,Drive,0.0,1.0,0.0,29,28,28.0,9.0,9.0,9.0,107.0,80.0,80.0,24,24,24.0,23,24,24.0,3.277,3.273,48.0,145.0,48.0,91.0,280.0,280.0,Off,,Self_Circulation,Self_Circulation,No Fault
2025-10-01 01:39:07.693000+05:30,2025-10-01 01:59:09.313000+05:30,20.03,Idle/Other,0.0,0.0,0.0,28,30,29.0,9.0,16.0,9.0,80.0,107.0,80.0,24,25,24.0,24,24,24.0,3.352,3.345,48.0,44.0,108.0,172.0,479.0,479.0,,Off,Off,Off,No Fault
2025-10-01 01:59:10.293000+05:30,2025-10-01 03:29:21.837000+05:30,90.19,Charging/Park,0.0,0.0,1.0,30,31,31.0,15.0,9.0,9.0,107.0,80.0,80.0,25,21,21.0,24,23,22.0,3.399,3.39,44.0,413.0,28.0,479.0,574.0,479.0,Off,,Charging_Cooling,Charging_Cooling,No Fault
2025-10-01 03:38:50.898000+05:30,2025-10-01 07:55:07.859000+05:30,256.28,Idle/Other,0.0,0.0,0.0,30,35,31.0,0.0,8.0,9.0,0.0,73.0,81.0,21,16,19.0,23,13,16.0,3.315,3.309,0.0,550.0,82.0,0.0,256.0,64.0,,Off,Off,Off,No Fault
2025-10-01 07:55:08.979000+05:30,2025-10-01 08:16:18.594000+05:30,21.16,Drive,77.5,1.0,0.0,35,34,35.0,8.0,9.0,9.0,73.0,81.0,79.0,17,19,20.0,13,22,24.0,3.306,3.291,413.0,413.0,413.0,64.0,478.0,476.0,Off,Off,Fast_Discharge_Cooling,Fast_Discharge_Cooling,No Fault
2025-10-01 08:17:00.414000+05:30,2025-10-01 08:17:12.994000+05:30,0.21,Charging/Park,,,1.0,34,34,34.0,9.0,9.0,9.0,81.0,81.0,81.0,19,20,20.0,22,22,22.0,3.318,3.299,454.0,490.0,490.0,476.0,472.0,472.0,Off,Off,Charging_Cooling,Off,No Fault
2025-10-01 08:17:14.093000+05:30,2025-10-01 08:37:00.714000+05:30,19.78,Charging/Park,0.0,0.0,1.0,34,36,36.0,9.0,9.0,9.0,81.0,74.0,73.0,20,19,16.0,22,22,22.0,3.397,3.389,490.0,108.0,96.0,472.0,42.0,225.0,Off,Off,Charging_Cooling,Charging_Cooling,No Fault
2025-10-01 08:44:14.494000+05:30,2025-10-01 08:57:21.634000+05:30,13.12,Idle/Other,,,,34,35,34.0,,9.0,9.0,,73.0,81.0,22,19,19.0,22,18,20.0,3.334,3.331,,431.0,82.0,,86.0,64.0,Off,On,Off,Off,No Fault
2025-10-01 08:57:23.754000+05:30,2025-10-01 11:37:52.674000+05:30,160.48,Drive,63.1,1.0,0.0,35,29,34.0,7.0,9.0,9.0,73.0,107.0,80.0,18,17,19.0,18,19,21.0,3.282,3.275,479.0,48.0,48.0,320.0,92.0,86.0,On,On,Fast_Discharge_Cooling,Fast_Discharge_Cooling,No Fault
