start_time,end_time,duration_mins,mode,vehicle_speed_start,vehilceready_start,gun_connection_status_start,bat_soc_start,bat_soc_end,b2t_battery_max_temp_start,b2t_battery_max_temp_end,b2t_battery_max_temp_med,mintemp_cellnum_start,mintemp_cellnum_end,mintemp_cellnum_mode,maxtemp_cellnum_start,maxtemp_cellnum_end,maxtemp_cellnum_mode,coolant_out_temp_start,coolant_out_temp_end,coolant_out_temp_med,coolant_in_temp_start,coolant_in_temp_end,coolant_in_temp_med,cell_max_voltage_start,cell_max_voltage_end,cell_max_voltage_med,cell_min_voltage_start,cell_min_voltage_end,cell_min_voltage_med,minvolt_cellnum_start,minvolt_cellnum_end,minvolt_cellnum_mode,maxvolt_cellnum_start,maxvolt_cellnum_end,maxvolt_cellnum_mode,bat_voltage_start,bat_voltage_end,bat_voltage_med,hv_voltage_start,b2t_tms_control_cmd,tms_working_mode,comp_status
2025-10-01 00:00:00.776000+05:30,2025-10-01 00:00:12.444000+05:30,0.19,Drive,36.5,1,0,54.8,54.4,35,35,35.0,7,7,7,73,73,73,24,25,24.0,26,26,26.0,3.291,3.254,3.286,3.286,3.248,3.28,306,527,36,141,28,269,632.1,623.9,630.15,,Fast_Discharge_Cooling,Fast_Discharge_Cooling,Off
2025-10-01 00:00:13.396000+05:30,2025-10-01 00:00:34.096000+05:30,0.34,Drive,48.8,1,0,54.4,54.4,35,35,35.0,7,7,7,73,73,73,25,25,25.0,26,26,26.0,3.256,3.24,3.257,3.249,3.2319999,3.251,455,447,455,28,28,28,624.0,621.1,624.6,622.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,On
2025-10-01 00:00:35.176000+05:30,2025-10-01 00:01:07.678000+05:30,0.54,Drive,64.6,1,0,54.4,54.4,35,35,35.0,7,7,7,73,73,73,25,25,25.0,26,27,27.0,3.241,3.282,3.279,3.2319999,3.279,3.267,527,82,35,28,41,29,621.3,629.6,628.55,627.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,Off
2025-10-01 00:01:08.696000+05:30,2025-10-01 00:01:42.536000+05:30,0.56,Drive,64.5,1,0,54.4,54.4,35,34,35.0,7,7,7,73,81,73,25,25,25.0,27,27,27.0,3.282,3.27,3.275,3.277,3.266,3.271,130,241,525,41,86,28,629.5,627.3,628.3,624.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,On
2025-10-01 00:01:43.536000+05:30,2025-10-01 00:03:39.976000+05:30,1.94,Drive,62.2,1,0,54.4,54.4,34,34,34.0,7,7,7,81,81,81,25,26,26.0,27,27,27.0,3.27,3.283,3.283,3.266,3.28,3.279,97,81,193,86,38,422,627.1,629.9,629.6,625.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,Off
2025-10-01 00:03:41.016000+05:30,2025-10-01 00:04:08.816000+05:30,0.46,Drive,0.0,1,0,54.4,54.4,34,34,34.0,7,9,7,81,81,81,26,26,26.0,27,27,27.0,3.284,3.283,3.283,3.28,3.28,3.28,81,45,193,400,269,280,629.9,629.8,629.8,626.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,On
2025-10-01 00:04:09.876000+05:30,2025-10-01 00:04:31.656000+05:30,0.36,Drive,0.0,1,0,54.4,54.4,34,34,34.0,9,9,9,81,81,81,26,26,26.0,27,27,27.0,3.283,3.284,3.284,3.28,3.281,3.28,45,35,84,269,95,64,629.8,630.0,630.0,624.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,Off
2025-10-01 00:04:32.636000+05:30,2025-10-01 00:04:41.117000+05:30,0.14,Drive,0.0,1,0,54.4,54.4,34,34,34.0,9,9,9,81,81,81,26,26,26.0,27,27,27.0,3.284,3.284,3.284,3.281,3.281,3.281,35,97,82,28,42,28,630.0,630.0,630.0,626.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,On
2025-10-01 00:04:42.176000+05:30,2025-10-01 00:06:32.996000+05:30,1.85,Drive,0.0,1,0,54.4,54.0,34,34,34.0,9,9,9,81,81,81,26,27,27.0,27,27,27.0,3.284,3.277,3.279,3.281,3.27,3.27,97,35,527,42,182,42,630.0,628.2,628.45,625.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,Off
2025-10-01 00:06:33.896000+05:30,2025-10-01 00:33:09.024000+05:30,26.59,Drive,52.1,1,0,54.0,51.2,34,32,34.0,7,16,9,81,80,81,27,16,17.0,27,17,20.0,3.285,3.276,3.279,3.277,3.2649999,3.275,130,528,48,557,280,422,628.7,627.6,629.0,615.0,Fast_Discharge_Cooling,Fast_Discharge_Cooling,On
